case,source_mesh,noise_pct,true_dip,estimated_dip,abs_error,top_family,expected_family,family_correct,top_template,correlation,score,weight,n_eff
Clean dip 28,same_mesh_dx0.25,1.0,28.0,25.0,3.0,clean_dip,clean_dip,True,CD_d25_x50,0.9884937417923355,0.9429841111957454,0.33747529361938,8.127367329083821
Clean dip 28,same_mesh_dx0.25,3.0,28.0,25.0,3.0,clean_dip,clean_dip,True,CD_d25_x50,0.9856477585164188,0.9348205663195389,0.321343034853093,8.35621150297489
Clean dip 28,same_mesh_dx0.25,5.0,28.0,25.0,3.0,clean_dip,clean_dip,True,CD_d25_x50,0.9844756051999941,0.9316136050151722,0.3214409375446333,8.359729674149012
Clean dip 28,same_mesh_dx0.25,7.000000000000001,28.0,25.0,3.0,clean_dip,clean_dip,True,CD_d25_x50,0.9795716771557227,0.9189325964291537,0.30680184697603685,8.611555204101302
Clean dip 28,same_mesh_dx0.25,10.0,28.0,25.0,3.0,clean_dip,clean_dip,True,CD_d25_x50,0.9740038773514813,0.9055984530346792,0.28651490620204634,8.835792019625252
Covered dip 32,same_mesh_dx0.25,1.0,32.0,35.0,3.0,covered_dip,covered_dip,True,COV_d35_c4.0,0.9791162127230784,0.9178048621489325,0.2059817908286797,11.113811252468304
Covered dip 32,same_mesh_dx0.25,3.0,32.0,35.0,3.0,covered_dip,covered_dip,True,COV_d35_c4.0,0.9749603615176404,0.9078251626568254,0.20158006172696616,11.35428027672725
Covered dip 32,same_mesh_dx0.25,5.0,32.0,35.0,3.0,covered_dip,covered_dip,True,COV_d35_c4.0,0.9685688721820606,0.893351832847241,0.19957893684808517,11.378072048759977
Covered dip 32,same_mesh_dx0.25,7.000000000000001,32.0,35.0,3.0,covered_dip,covered_dip,True,COV_d35_c4.0,0.9517811836434565,0.8586179562264865,0.18386475958676507,12.222113268225481
Covered dip 32,same_mesh_dx0.25,10.0,32.0,35.0,3.0,covered_dip,covered_dip,True,COV_d35_c4.0,0.9368406885381999,0.8302166947035626,0.16656983998001346,12.429541031373478
Groundwater 18,same_mesh_dx0.25,1.0,18.0,25.0,7.0,clean_dip,groundwater,False,CD_d25_x35,0.989653997885396,0.946499851151606,0.21301236385481992,16.664908034840188
Groundwater 18,same_mesh_dx0.25,3.0,18.0,25.0,7.0,clean_dip,groundwater,False,CD_d25_x35,0.9894146574865884,0.9457642090112325,0.21386768651030258,16.681298819720897
Groundwater 18,same_mesh_dx0.25,5.0,18.0,25.0,7.0,clean_dip,groundwater,False,CD_d25_x35,0.9884509933287864,0.9428569016010683,0.21340987308798656,16.455986862886185
Groundwater 18,same_mesh_dx0.25,7.000000000000001,18.0,25.0,7.0,clean_dip,groundwater,False,CD_d25_x35,0.9868479213069072,0.938192251910976,0.20939385597105004,16.688122092095146
Groundwater 18,same_mesh_dx0.25,10.0,18.0,25.0,7.0,clean_dip,groundwater,False,CD_d25_x35,0.9821363816951025,0.9254314322254916,0.2003443090671429,17.397857892243877
Fault zone 40,same_mesh_dx0.25,1.0,40.0,35.0,5.0,clean_dip,fault_zone,False,CD_d35_x50,0.9711466578402741,0.8990800109924172,0.24155955915552801,7.726132166549052
Fault zone 40,same_mesh_dx0.25,3.0,40.0,35.0,5.0,clean_dip,fault_zone,False,CD_d35_x50,0.969657935815601,0.895755489629491,0.23792498781955906,7.871008535001509
